strategy,model,rmse_X,rmse_Z,avg_rmse
time_split,linear,17.59860511524925,5.70303285169444,11.650818983471844
time_split,random_forest,23.006437096001473,9.931149302344952,16.468793199173213
time_split,gradient_boosting,24.038661488765282,8.470057243026762,16.254359365896022
environment_split,linear,20.98013406589591,5.288067670340209,13.13410086811806
environment_split,random_forest,18.17990489489234,10.349665590850131,14.264785242871234
environment_split,gradient_boosting,16.397452249714927,9.525641498414245,12.961546874064586
few_shot_split,linear,11.872776311768865,6.8374880218493095,9.355132166809087
few_shot_split,random_forest,19.365045486490114,14.8830174709832,17.124031478736658
few_shot_split,gradient_boosting,18.420782936696284,14.291376507306305,16.356079722001294
